2023-01-25T04:39:42.189078+00:00 CRITICAL 'ansible_navigator.actions.run_playbook._handle_message' Unhandled message from runner queue, discarded: {'event': 'verbose', 'uuid': '77cffc99-a8ac-4514-aa76-4ddd3d3deb3a', 'counter': 1, 'stdout': '', 'start_line': 0, 'end_line': 1, 'runner_ident': '9b34fe82-f692-42e4-9d3a-6ec8014ce1d3', 'created': '2023-01-25T04:39:42.185247'}
2023-01-25T04:39:42.189725+00:00 CRITICAL 'ansible_navigator.actions.run_playbook._handle_message' Unhandled message from runner queue, discarded: {'event': 'verbose', 'uuid': 'f10bcb45-b616-4f69-9861-a516596b7e9a', 'counter': 2, 'stdout': 'playbook: /home/student/RH294-ansible-demo/ansible2.7-playbooks/Chap06/import-play.yml', 'start_line': 1, 'end_line': 2, 'runner_ident': '9b34fe82-f692-42e4-9d3a-6ec8014ce1d3', 'created': '2023-01-25T04:39:42.185456'}
2023-01-25T04:39:42.189789+00:00 CRITICAL 'ansible_navigator.actions.run_playbook._handle_message' Unhandled message from runner queue, discarded: {'event': 'verbose', 'uuid': '429f6413-4ebd-4460-a3a0-5371df041433', 'counter': 3, 'stdout': '', 'start_line': 2, 'end_line': 3, 'runner_ident': '9b34fe82-f692-42e4-9d3a-6ec8014ce1d3', 'created': '2023-01-25T04:39:42.185510'}
2023-01-25T04:39:42.189873+00:00 CRITICAL 'ansible_navigator.actions.run_playbook._handle_message' Unhandled message from runner queue, discarded: {'event': 'verbose', 'uuid': '56c90833-7a3a-45ad-b764-9ec1c4901373', 'counter': 4, 'stdout': '  play #1 (servera): Demo of import Playbook\tTAGS: []', 'start_line': 3, 'end_line': 4, 'runner_ident': '9b34fe82-f692-42e4-9d3a-6ec8014ce1d3', 'created': '2023-01-25T04:39:42.185554'}
2023-01-25T04:39:42.189956+00:00 CRITICAL 'ansible_navigator.actions.run_playbook._handle_message' Unhandled message from runner queue, discarded: {'event': 'verbose', 'uuid': 'e662a544-3bf5-40c4-b3f8-53e7e444a9f1', 'counter': 5, 'stdout': '    tasks:', 'start_line': 4, 'end_line': 5, 'runner_ident': '9b34fe82-f692-42e4-9d3a-6ec8014ce1d3', 'created': '2023-01-25T04:39:42.186216'}
2023-01-25T04:39:42.190020+00:00 CRITICAL 'ansible_navigator.actions.run_playbook._handle_message' Unhandled message from runner queue, discarded: {'event': 'verbose', 'uuid': 'adb5b593-9ced-4bb8-bc58-255596f0e79c', 'counter': 6, 'stdout': '      From main playbook\tTAGS: []', 'start_line': 5, 'end_line': 6, 'runner_ident': '9b34fe82-f692-42e4-9d3a-6ec8014ce1d3', 'created': '2023-01-25T04:39:42.186300'}
2023-01-25T04:39:42.190054+00:00 CRITICAL 'ansible_navigator.actions.run_playbook._handle_message' Unhandled message from runner queue, discarded: {'event': 'verbose', 'uuid': 'ab18a57d-5267-48d4-9d95-bd684d6c2756', 'counter': 7, 'stdout': '', 'start_line': 6, 'end_line': 7, 'runner_ident': '9b34fe82-f692-42e4-9d3a-6ec8014ce1d3', 'created': '2023-01-25T04:39:42.186347'}
2023-01-25T04:39:42.190110+00:00 CRITICAL 'ansible_navigator.actions.run_playbook._handle_message' Unhandled message from runner queue, discarded: {'event': 'verbose', 'uuid': '83c8a7b7-b79e-4679-8c3e-2d1747d8103d', 'counter': 8, 'stdout': '  play #2 (servera): servera\tTAGS: []', 'start_line': 7, 'end_line': 8, 'runner_ident': '9b34fe82-f692-42e4-9d3a-6ec8014ce1d3', 'created': '2023-01-25T04:39:42.186402'}
2023-01-25T04:39:42.190163+00:00 CRITICAL 'ansible_navigator.actions.run_playbook._handle_message' Unhandled message from runner queue, discarded: {'event': 'verbose', 'uuid': 'f476f5ab-f7a5-44eb-98df-8a9bf0d396d5', 'counter': 9, 'stdout': '    tasks:', 'start_line': 8, 'end_line': 9, 'runner_ident': '9b34fe82-f692-42e4-9d3a-6ec8014ce1d3', 'created': '2023-01-25T04:39:42.187324'}
2023-01-25T04:39:42.190229+00:00 CRITICAL 'ansible_navigator.actions.run_playbook._handle_message' Unhandled message from runner queue, discarded: {'event': 'verbose', 'uuid': 'c3492ef9-a845-4534-9fe6-877c8818a7ed', 'counter': 10, 'stdout': '      Display message1\tTAGS: []', 'start_line': 9, 'end_line': 10, 'runner_ident': '9b34fe82-f692-42e4-9d3a-6ec8014ce1d3', 'created': '2023-01-25T04:39:42.187402'}
2023-01-25T04:39:42.190262+00:00 CRITICAL 'ansible_navigator.actions.run_playbook._handle_message' Unhandled message from runner queue, discarded: {'event': 'verbose', 'uuid': '39ad7e88-bd4b-4706-b9c9-7bf6b13a523b', 'counter': 11, 'stdout': '', 'start_line': 10, 'end_line': 11, 'runner_ident': '9b34fe82-f692-42e4-9d3a-6ec8014ce1d3', 'created': '2023-01-25T04:39:42.187447'}
